Chromosome,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr7_C_albicans_SC5314,Ca21chr7_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314
P6xSC_P59_E10_150,-,ab,ab,ab,cc,cc,ab,cc,ab,-,ab,ab,-,ab,ab,ab,ab,bb,ab,ab,ab,ab,-,-,-,-,-,-,cc,-,cc,-,cc,-,cc,cc,ab,ab,bb,cc,cc,cc,ab,-,cc,cc,ab,ab,ab,ab,ab,cc,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,bb,cc,-,cc,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P60_E11_140,-,ab,-,ab,cc,cc,bb,cc,ab,-,ab,ab,-,ab,ab,ab,ab,bb,aa,ab,ab,ab,-,-,-,-,-,-,cc,-,cc,-,cc,cc,cc,cc,ab,ab,ab,cc,cc,cc,-,cc,cc,cc,ab,ab,-,ab,ab,cc,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,cc,cc,cc,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P62_F1_204,-,ab,ab,ab,cc,cc,bb,cc,ab,-,ab,ab,ab,ab,ab,ab,-,bb,ab,ab,ab,ab,-,-,-,-,-,-,cc,-,cc,cc,cc,cc,cc,cc,ab,ab,ab,cc,cc,cc,ab,cc,cc,cc,ab,-,ab,ab,ab,cc,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,cc,cc,cc,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P63_F2_188,-,ab,-,ab,cc,cc,bb,cc,ab,-,-,ab,ab,-,ab,ab,-,-,-,-,ab,ab,-,-,-,-,-,-,cc,-,-,-,cc,-,cc,cc,ab,ab,ab,cc,cc,cc,-,-,cc,cc,ab,-,-,ab,-,-,-,ab,ab,-,ab,ab,ab,ab,ab,ab,-,-,ab,-,-,-,cc,-,ab,cc,-,-,ab,ab,cc
P6xSC_P64_F3_172,-,ab,-,ab,cc,cc,bb,cc,ab,ab,-,ab,ab,-,ab,ab,-,-,ab,ab,ab,ab,-,-,-,-,-,-,cc,-,cc,-,cc,cc,cc,cc,ab,bb,ab,cc,cc,cc,-,-,cc,cc,ab,-,ab,ab,ab,-,-,ab,ab,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,-,cc,cc,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P65_F4_156,-,ab,-,ab,cc,cc,ab,cc,ab,ab,ab,ab,ab,ab,bb,ab,ab,-,ab,ab,ab,ab,-,-,-,-,-,-,cc,-,cc,-,cc,cc,cc,cc,ab,ab,ab,cc,cc,cc,-,cc,cc,cc,ab,ab,bb,ab,ab,cc,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,cc,cc,ac,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P66_F5_124,ab,-,-,ab,cc,cc,ab,-,ab,-,-,ab,-,-,ab,ab,-,-,aa,ab,ab,ab,-,-,bb,-,aa,-,cc,-,cc,-,cc,-,-,cc,ab,bb,ab,-,cc,cc,-,-,cc,cc,ab,-,-,ab,-,-,-,ab,aa,-,ab,ab,ab,-,ab,ab,-,ab,ab,-,-,-,cc,cc,ab,-,-,ac,-,ab,-
P6xSC_P67_F6_138,-,-,-,ab,cc,cc,ab,-,ab,-,ab,ab,ab,-,ab,ab,-,-,ab,ab,ab,ab,-,-,-,-,-,-,cc,-,cc,-,cc,-,cc,cc,ab,ab,ab,cc,cc,cc,-,-,cc,cc,ab,-,ab,ab,ab,-,-,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,-,-,-,ac,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P68_F7_208,-,ab,ab,ab,cc,cc,bb,-,ab,-,ab,ab,-,-,ab,ab,-,-,ab,aa,ab,ab,-,-,-,-,-,-,cc,-,-,-,cc,cc,cc,cc,ab,ab,ab,cc,cc,cc,ab,-,cc,cc,ab,-,ab,ab,-,cc,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,-,-,cc,cc,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P69_F8_124,-,ab,ab,ab,cc,cc,ab,cc,ab,-,ab,ab,-,-,ab,ab,-,bb,ab,ab,ab,ab,cc,ab,ab,-,ab,bb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,cc,cc,ab,-,ab,ab,ab,-,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,cc,-,cc,cc,ab,cc,-,ac,ab,ab,cc
P6xSC_P6_A5_114,-,ab,ab,ab,cc,cc,aa,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,bb,ab,ab,ab,aa,-,-,-,-,-,-,cc,-,-,cc,cc,cc,cc,cc,ab,ab,ab,cc,cc,cc,ab,-,cc,cc,ab,ab,ab,ab,ab,cc,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,cc,cc,ac,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P70_F9_138,-,ab,-,ab,cc,cc,ab,cc,ab,ab,ab,ab,-,-,ab,ab,ab,bb,ab,ab,ab,ab,-,-,-,-,-,-,cc,-,cc,-,cc,cc,cc,cc,ab,ab,ab,cc,cc,cc,-,cc,cc,cc,ab,-,ab,ab,ab,cc,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,-,cc,cc,cc,ab,cc,-,ac,ab,ab,cc
P6xSC_P71_F10_152,-,ab,-,ab,cc,cc,ab,cc,ab,-,ab,ab,-,-,ab,ab,ab,-,ab,ab,ab,ab,-,aa,bb,-,aa,-,cc,-,cc,-,cc,cc,cc,cc,ab,ab,ab,cc,cc,cc,-,cc,cc,cc,bb,-,ab,ab,ab,-,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,-,-,cc,cc,ab,cc,-,ac,ab,ab,cc
P6xSC_P72_F11_114,-,ab,-,ab,cc,cc,ab,cc,ab,ab,ab,ab,ab,-,ab,ab,ab,-,ab,ab,ab,ab,-,-,-,-,-,-,cc,-,cc,-,cc,cc,cc,cc,ab,-,ab,cc,cc,cc,ab,-,cc,cc,ab,ab,ab,ab,ab,cc,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,-,-,cc,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P74_G1_206,-,ab,ab,ab,cc,cc,ab,cc,ab,-,ab,ab,-,ab,ab,ab,ab,-,ab,ab,ab,ab,-,-,-,-,-,-,cc,-,cc,-,cc,cc,cc,cc,ab,bb,ab,cc,cc,cc,ab,-,cc,cc,ab,-,ab,ab,aa,-,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,-,-,-,cc,cc,ab,cc,-,--,ab,ab,cc
P6xSC_P75_G2_190,-,-,ab,ab,cc,cc,ab,-,-,-,ab,ab,-,-,ab,ab,-,-,aa,ab,ab,ab,-,-,-,-,-,-,cc,-,cc,-,cc,cc,cc,cc,ab,ab,ab,-,cc,cc,-,-,cc,cc,ab,-,ab,ab,-,-,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,-,-,-,cc,cc,ab,-,-,aa,ab,ab,-
P6xSC_P76_G3_174,-,-,-,ab,cc,cc,bb,cc,ab,-,ab,ab,-,-,ab,ab,ab,-,ab,ab,ab,ab,-,-,bb,-,aa,-,cc,-,cc,-,cc,-,cc,cc,ab,ab,ab,cc,cc,cc,-,cc,cc,cc,aa,-,ab,ab,-,-,-,ab,ab,-,ab,ab,ab,ab,ab,ab,ab,bb,ab,ab,-,-,cc,cc,ab,cc,-,aa,ab,ab,cc
P6xSC_P77_G4_158,-,ab,-,ab,cc,cc,ab,cc,ab,-,ab,ab,-,-,ab,ab,ab,-,ab,ab,ab,ab,-,-,-,-,-,-,cc,-,cc,-,cc,cc,cc,cc,ab,ab,ab,cc,cc,cc,ab,cc,cc,cc,ab,ab,ab,ab,-,-,-,aa,ab,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,-,-,-,cc,cc,ab,cc,-,ab,ab,ab,cc
P6xSC_P78_G5_126,-,ab,-,ab,cc,cc,bb,cc,ab,-,ab,ab,-,-,ab,aa,-,-,ab,-,ab,ab,-,ab,bb,-,ab,-,cc,-,cc,-,cc,-,cc,cc,ab,ab,ab,-,cc,cc,-,-,cc,cc,-,-,-,ab,-,-,-,ab,ab,-,ab,ab,ab,-,ab,ab,ab,ab,-,-,-,-,cc,-,-,-,-,-,ab,ab,-
P6xSC_P79_G6_140,-,-,-,ab,cc,cc,ab,cc,ab,ab,ab,ab,-,ab,ab,ab,-,-,ab,ab,ab,bb,-,-,-,-,-,-,cc,-,cc,-,cc,-,cc,cc,ab,ab,ab,-,cc,cc,-,cc,cc,cc,ab,-,ab,ab,-,-,-,ab,ab,-,ab,ab,ab,ab,ab,ab,bb,ab,ab,-,-,-,cc,cc,ab,cc,-,ac,ab,ab,cc
P6xSC_P7_A6_128,-,ab,ab,ab,cc,cc,ab,cc,ab,ab,ab,ab,-,ab,ab,ab,-,bb,ab,ab,ab,ab,-,-,-,-,-,-,cc,-,-,cc,cc,cc,cc,cc,ab,-,aa,cc,cc,cc,ab,-,cc,cc,ab,-,ab,ab,ab,cc,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,cc,cc,ac,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P80_G7_114,ab,-,-,ab,cc,cc,bb,cc,ab,-,ab,ab,-,-,ab,ab,ab,-,aa,ab,ab,ab,-,aa,bb,-,aa,bb,cc,-,cc,-,cc,-,cc,cc,ab,ab,ab,cc,cc,cc,-,cc,cc,cc,ab,-,ab,ab,ab,-,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,-,-,-,cc,cc,ab,cc,-,ac,ab,ab,cc
P6xSC_P81_G8_126,ab,ab,ab,ab,cc,cc,ab,cc,ab,-,ab,ab,-,ab,ab,ab,-,-,ab,ab,ab,ab,-,-,-,-,-,-,cc,-,cc,-,cc,cc,cc,cc,ab,ab,ab,cc,cc,cc,-,-,cc,cc,ab,-,ab,ab,-,-,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,-,-,cc,cc,ab,cc,-,ac,ab,ab,cc
P6xSC_P8_A7_142,-,ab,ab,ab,cc,cc,ab,cc,ab,ab,ab,ab,ab,ab,ab,ab,ab,bb,ab,ab,ab,ab,-,-,-,-,-,-,cc,-,-,cc,cc,cc,cc,cc,ab,ab,ab,cc,cc,cc,ab,cc,cc,cc,ab,ab,ab,ab,ab,cc,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,cc,cc,ac,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P9_A8_114,-,-,-,ab,cc,cc,ab,-,ab,-,-,ab,-,-,-,ab,-,-,ab,ab,ab,ab,-,-,ab,-,ab,-,cc,-,-,-,cc,-,cc,cc,ab,ab,ab,cc,cc,cc,-,-,cc,cc,ab,ab,-,ab,-,-,-,ab,ab,ab,ab,ab,ab,aa,aa,bb,bb,-,aa,-,-,-,-,cc,ab,-,-,-,ab,ab,cc
