Chromosome,Chr_Position,,
Ca21chr1_C_albicans_SC5314,2642286,285,
Ca21chr1_C_albicans_SC5314,2642571,267,
Ca21chr1_C_albicans_SC5314,2642838,261,
Ca21chr1_C_albicans_SC5314,2643099,1,
Ca21chr1_C_albicans_SC5314,2643100,341,
Ca21chr1_C_albicans_SC5314,2643441,126,
Ca21chr1_C_albicans_SC5314,2643567,404,
Ca21chr1_C_albicans_SC5314,2643971,124,
Ca21chr1_C_albicans_SC5314,2644095,3,
Ca21chr1_C_albicans_SC5314,2644098,975,
Ca21chr1_C_albicans_SC5314,2645073,15,
Ca21chr1_C_albicans_SC5314,2645088,65,
Ca21chr1_C_albicans_SC5314,2645153,689,
Ca21chr1_C_albicans_SC5314,2645842,168,
Ca21chr1_C_albicans_SC5314,2646010,121,
Ca21chr1_C_albicans_SC5314,2646131,3159,
Ca21chr1_C_albicans_SC5314,2649290,570,
Ca21chr1_C_albicans_SC5314,2649860,231,
Ca21chr1_C_albicans_SC5314,2650091,210,
Ca21chr1_C_albicans_SC5314,2650301,346,
Ca21chr1_C_albicans_SC5314,2650647,699,
Ca21chr1_C_albicans_SC5314,2651346,174,
Ca21chr1_C_albicans_SC5314,2651520,372,
Ca21chr1_C_albicans_SC5314,2651892,225,
Ca21chr1_C_albicans_SC5314,2652117,27,
Ca21chr1_C_albicans_SC5314,2652144,135,
Ca21chr1_C_albicans_SC5314,2652279,939,
Ca21chr1_C_albicans_SC5314,2653218,475,
Ca21chr1_C_albicans_SC5314,2653693,786,
Ca21chr1_C_albicans_SC5314,2654479,486,
Ca21chr1_C_albicans_SC5314,2654965,834,
Ca21chr1_C_albicans_SC5314,2655799,6,
Ca21chr1_C_albicans_SC5314,2655805,1127,
Ca21chr1_C_albicans_SC5314,2656932,327,
Ca21chr1_C_albicans_SC5314,2657259,406,
Ca21chr1_C_albicans_SC5314,2657665,96,
Ca21chr1_C_albicans_SC5314,2657761,175,
Ca21chr1_C_albicans_SC5314,2657936,440,
Ca21chr1_C_albicans_SC5314,2658376,39,
Ca21chr1_C_albicans_SC5314,2658415,220,
Ca21chr1_C_albicans_SC5314,2658635,420,
Ca21chr1_C_albicans_SC5314,2659055,605,
Ca21chr1_C_albicans_SC5314,2659660,171,
Ca21chr1_C_albicans_SC5314,2659831,174,
Ca21chr1_C_albicans_SC5314,2660005,45,
Ca21chr1_C_albicans_SC5314,2660050,183,
Ca21chr1_C_albicans_SC5314,2660233,909,
Ca21chr1_C_albicans_SC5314,2661142,24,
Ca21chr1_C_albicans_SC5314,2661166,99,
Ca21chr1_C_albicans_SC5314,2661265,36,
Ca21chr1_C_albicans_SC5314,2661301,628,
Ca21chr1_C_albicans_SC5314,2661929,96,
Ca21chr1_C_albicans_SC5314,2662025,243,
Ca21chr1_C_albicans_SC5314,2662268,630,
Ca21chr1_C_albicans_SC5314,2662898,162,
Ca21chr1_C_albicans_SC5314,2663060,405,
Ca21chr1_C_albicans_SC5314,2663465,394,
Ca21chr1_C_albicans_SC5314,2663859,1427,
Ca21chr1_C_albicans_SC5314,2665286,3617,
Ca21chr1_C_albicans_SC5314,2668903,7,
Ca21chr1_C_albicans_SC5314,2668910,1144,
Ca21chr1_C_albicans_SC5314,2670054,2634,
Ca21chr1_C_albicans_SC5314,2672688,29,
Ca21chr1_C_albicans_SC5314,2672717,58,
Ca21chr1_C_albicans_SC5314,2672775,624,
Ca21chr1_C_albicans_SC5314,2673399,85,
Ca21chr1_C_albicans_SC5314,2673484,3220,
Ca21chr1_C_albicans_SC5314,2676704,1754,
Ca21chr1_C_albicans_SC5314,2678458,3196,
Ca21chr1_C_albicans_SC5314,2681654,8272,
Ca21chr1_C_albicans_SC5314,2689926,18917,
Ca21chr1_C_albicans_SC5314,2708843,1329,
Ca21chr1_C_albicans_SC5314,2710172,1179,
Ca21chr1_C_albicans_SC5314,2711351,765,
Ca21chr1_C_albicans_SC5314,2712116,45,
Ca21chr1_C_albicans_SC5314,2712161,906,
Ca21chr1_C_albicans_SC5314,2713067,3546,
Ca21chr1_C_albicans_SC5314,2716613,943,
Ca21chr1_C_albicans_SC5314,2717556,14,
Ca21chr1_C_albicans_SC5314,2717570,899,
Ca21chr1_C_albicans_SC5314,2718469,3269,
Ca21chr1_C_albicans_SC5314,2721738,240,
Ca21chr1_C_albicans_SC5314,2721978,113,
Ca21chr1_C_albicans_SC5314,2722091,1814,
Ca21chr1_C_albicans_SC5314,2723905,805,
Ca21chr1_C_albicans_SC5314,2724710,1004,
Ca21chr1_C_albicans_SC5314,2725714,144,
Ca21chr1_C_albicans_SC5314,2725858,2675,
Ca21chr1_C_albicans_SC5314,2728533,16,
Ca21chr1_C_albicans_SC5314,2728549,3687,
Ca21chr1_C_albicans_SC5314,2732236,330,
Ca21chr1_C_albicans_SC5314,2732566,1193,
Ca21chr1_C_albicans_SC5314,2733759,79,
Ca21chr1_C_albicans_SC5314,2733838,5010,
Ca21chr1_C_albicans_SC5314,2738848,2746,
Ca21chr1_C_albicans_SC5314,2741594,1701,
Ca21chr1_C_albicans_SC5314,2743295,1279,
Ca21chr1_C_albicans_SC5314,2744574,454,
Ca21chr1_C_albicans_SC5314,2745028,4856,
Ca21chr1_C_albicans_SC5314,2749884,1709,
Ca21chr1_C_albicans_SC5314,2751593,1799,
Ca21chr1_C_albicans_SC5314,2753392,1750,
Ca21chr1_C_albicans_SC5314,2755142,2739,
Ca21chr1_C_albicans_SC5314,2757881,187,
Ca21chr1_C_albicans_SC5314,2758068,2385,
Ca21chr1_C_albicans_SC5314,2760453,195,
Ca21chr1_C_albicans_SC5314,2760648,309,
Ca21chr1_C_albicans_SC5314,2760957,234,
Ca21chr1_C_albicans_SC5314,2761191,42,
Ca21chr1_C_albicans_SC5314,2761233,53,
Ca21chr1_C_albicans_SC5314,2761286,686,
Ca21chr1_C_albicans_SC5314,2761972,27,
Ca21chr1_C_albicans_SC5314,2761999,292,
Ca21chr1_C_albicans_SC5314,2762291,27,
Ca21chr1_C_albicans_SC5314,2762318,86,
Ca21chr1_C_albicans_SC5314,2762404,6057,
Ca21chr1_C_albicans_SC5314,2768461,415,
Ca21chr1_C_albicans_SC5314,2768876,2189,
Ca21chr1_C_albicans_SC5314,2771065,816,
Ca21chr1_C_albicans_SC5314,2771881,4218,
Ca21chr1_C_albicans_SC5314,2776099,9421,
Ca21chr1_C_albicans_SC5314,2785520,127,
Ca21chr1_C_albicans_SC5314,2785647,270,
Ca21chr1_C_albicans_SC5314,2785917,3531,
Ca21chr1_C_albicans_SC5314,2789448,295,
Ca21chr1_C_albicans_SC5314,2789743,97,
Ca21chr1_C_albicans_SC5314,2789840,8607,
Ca21chr1_C_albicans_SC5314,2798447,27,
Ca21chr1_C_albicans_SC5314,2798474,31,
Ca21chr1_C_albicans_SC5314,2798505,2343,
Ca21chr1_C_albicans_SC5314,2800848,1204,
Ca21chr1_C_albicans_SC5314,2802052,1846,
Ca21chr1_C_albicans_SC5314,2803898,14,
Ca21chr1_C_albicans_SC5314,2803912,88,
Ca21chr1_C_albicans_SC5314,2804000,87,
Ca21chr1_C_albicans_SC5314,2804087,702,
Ca21chr1_C_albicans_SC5314,2804789,446,
Ca21chr1_C_albicans_SC5314,2805235,62,
Ca21chr1_C_albicans_SC5314,2805297,1855,
Ca21chr1_C_albicans_SC5314,2807152,4238,
Ca21chr1_C_albicans_SC5314,2811390,1240,
Ca21chr1_C_albicans_SC5314,2812630,888,
Ca21chr1_C_albicans_SC5314,2813518,106,
Ca21chr1_C_albicans_SC5314,2813624,212,
Ca21chr1_C_albicans_SC5314,2813836,1241,
Ca21chr1_C_albicans_SC5314,2815077,303,
Ca21chr1_C_albicans_SC5314,2815380,115,
Ca21chr1_C_albicans_SC5314,2815495,72,
Ca21chr1_C_albicans_SC5314,2815567,114,
Ca21chr1_C_albicans_SC5314,2815681,9,
Ca21chr1_C_albicans_SC5314,2815690,254,
Ca21chr1_C_albicans_SC5314,2815944,220,
Ca21chr1_C_albicans_SC5314,2816164,684,
Ca21chr1_C_albicans_SC5314,2816848,786,
Ca21chr1_C_albicans_SC5314,2817634,101,
Ca21chr1_C_albicans_SC5314,2817735,676,
Ca21chr1_C_albicans_SC5314,2818411,55,
Ca21chr1_C_albicans_SC5314,2818466,78,
Ca21chr1_C_albicans_SC5314,2818544,208,
Ca21chr1_C_albicans_SC5314,2818752,79,
Ca21chr1_C_albicans_SC5314,2818831,79,
Ca21chr1_C_albicans_SC5314,2818910,345,
Ca21chr1_C_albicans_SC5314,2819255,324,
Ca21chr1_C_albicans_SC5314,2819579,174,
Ca21chr1_C_albicans_SC5314,2819753,455,
Ca21chr1_C_albicans_SC5314,2820208,218,
Ca21chr1_C_albicans_SC5314,2820426,1242,
Ca21chr1_C_albicans_SC5314,2821668,39,
Ca21chr1_C_albicans_SC5314,2821707,9,
Ca21chr1_C_albicans_SC5314,2821716,144,
Ca21chr1_C_albicans_SC5314,2821860,315,
Ca21chr1_C_albicans_SC5314,2822175,42,
Ca21chr1_C_albicans_SC5314,2822217,210,
Ca21chr1_C_albicans_SC5314,2822427,131,
Ca21chr1_C_albicans_SC5314,2822558,2500,
Ca21chr1_C_albicans_SC5314,2825058,189,
Ca21chr1_C_albicans_SC5314,2825247,325,
Ca21chr1_C_albicans_SC5314,2825572,464,
Ca21chr1_C_albicans_SC5314,2826036,335,
Ca21chr1_C_albicans_SC5314,2826371,386,
Ca21chr1_C_albicans_SC5314,2826757,238,
Ca21chr1_C_albicans_SC5314,2826995,876,
Ca21chr1_C_albicans_SC5314,2827871,5,
Ca21chr1_C_albicans_SC5314,2827876,396,
Ca21chr1_C_albicans_SC5314,2828272,867,
Ca21chr1_C_albicans_SC5314,2829139,1409,
Ca21chr1_C_albicans_SC5314,2830548,50,
Ca21chr1_C_albicans_SC5314,2830598,5700,
Ca21chr1_C_albicans_SC5314,2836298,65,
Ca21chr1_C_albicans_SC5314,2836363,102,
Ca21chr1_C_albicans_SC5314,2836465,1144,
Ca21chr1_C_albicans_SC5314,2837609,9,
Ca21chr1_C_albicans_SC5314,2837618,3706,
Ca21chr1_C_albicans_SC5314,2841324,204,
Ca21chr1_C_albicans_SC5314,2841528,291,
Ca21chr1_C_albicans_SC5314,2841819,1047,
Ca21chr1_C_albicans_SC5314,2842866,444,
Ca21chr1_C_albicans_SC5314,2843310,2722,
Ca21chr1_C_albicans_SC5314,2846032,1543,
Ca21chr1_C_albicans_SC5314,2847575,1225,
Ca21chr1_C_albicans_SC5314,2848800,1725,
Ca21chr1_C_albicans_SC5314,2850525,2251,
Ca21chr1_C_albicans_SC5314,2852776,192,
Ca21chr1_C_albicans_SC5314,2852968,2,
Ca21chr1_C_albicans_SC5314,2852970,7070,
Ca21chr1_C_albicans_SC5314,2860040,526,
Ca21chr1_C_albicans_SC5314,2860566,609,
Ca21chr1_C_albicans_SC5314,2861175,3754,
Ca21chr1_C_albicans_SC5314,2864929,84,
Ca21chr1_C_albicans_SC5314,2865013,4896,
Ca21chr1_C_albicans_SC5314,2869909,1804,
Ca21chr1_C_albicans_SC5314,2871713,63,
Ca21chr1_C_albicans_SC5314,2871776,77,
Ca21chr1_C_albicans_SC5314,2871853,1365,
Ca21chr1_C_albicans_SC5314,2873218,3,
Ca21chr1_C_albicans_SC5314,2873221,139,
Ca21chr1_C_albicans_SC5314,2873360,114,
Ca21chr1_C_albicans_SC5314,2873474,94,
Ca21chr1_C_albicans_SC5314,2873568,113,
Ca21chr1_C_albicans_SC5314,2873681,4,
Ca21chr1_C_albicans_SC5314,2873685,152,
Ca21chr1_C_albicans_SC5314,2873837,84,
Ca21chr1_C_albicans_SC5314,2873921,2652,
Ca21chr1_C_albicans_SC5314,2876573,24,
Ca21chr1_C_albicans_SC5314,2876597,1251,
Ca21chr1_C_albicans_SC5314,2877848,719,
Ca21chr1_C_albicans_SC5314,2878567,433,
Ca21chr1_C_albicans_SC5314,2879000,6480,
Ca21chr1_C_albicans_SC5314,2885480,316,
Ca21chr1_C_albicans_SC5314,2885796,159,
Ca21chr1_C_albicans_SC5314,2885955,387,
Ca21chr1_C_albicans_SC5314,2886342,1591,
Ca21chr1_C_albicans_SC5314,2887933,3554,
Ca21chr1_C_albicans_SC5314,2891487,1480,
Ca21chr1_C_albicans_SC5314,2892967,318,
Ca21chr1_C_albicans_SC5314,2893285,5406,
Ca21chr1_C_albicans_SC5314,2898691,16,
Ca21chr1_C_albicans_SC5314,2898707,3130,
Ca21chr1_C_albicans_SC5314,2901837,1476,
Ca21chr1_C_albicans_SC5314,2903313,41,
Ca21chr1_C_albicans_SC5314,2903354,974,
Ca21chr1_C_albicans_SC5314,2904328,65,
Ca21chr1_C_albicans_SC5314,2904393,4924,
Ca21chr1_C_albicans_SC5314,2909317,1293,
Ca21chr1_C_albicans_SC5314,2910610,8563,
Ca21chr1_C_albicans_SC5314,2919173,2172,
Ca21chr1_C_albicans_SC5314,2921345,1990,
Ca21chr1_C_albicans_SC5314,2923335,5,
Ca21chr1_C_albicans_SC5314,2923340,836,
Ca21chr1_C_albicans_SC5314,2924176,885,
Ca21chr1_C_albicans_SC5314,2925061,34,
Ca21chr1_C_albicans_SC5314,2925095,145,
Ca21chr1_C_albicans_SC5314,2925240,29,
Ca21chr1_C_albicans_SC5314,2925269,60,
Ca21chr1_C_albicans_SC5314,2925329,30,
Ca21chr1_C_albicans_SC5314,2925359,4394,
Ca21chr1_C_albicans_SC5314,2929753,240,
Ca21chr1_C_albicans_SC5314,2929993,1351,
Ca21chr1_C_albicans_SC5314,2931344,116,
Ca21chr1_C_albicans_SC5314,2931460,6,
Ca21chr1_C_albicans_SC5314,2931466,2191,
Ca21chr1_C_albicans_SC5314,2933657,57,
Ca21chr1_C_albicans_SC5314,2933714,27,
Ca21chr1_C_albicans_SC5314,2933741,1834,
Ca21chr1_C_albicans_SC5314,2935575,495,
Ca21chr1_C_albicans_SC5314,2936070,24,
Ca21chr1_C_albicans_SC5314,2936094,676,
Ca21chr1_C_albicans_SC5314,2936770,337,
Ca21chr1_C_albicans_SC5314,2937107,2094,
Ca21chr1_C_albicans_SC5314,2939201,3,
Ca21chr1_C_albicans_SC5314,2939204,3100,
Ca21chr1_C_albicans_SC5314,2942304,1428,
Ca21chr1_C_albicans_SC5314,2943732,1269,
Ca21chr1_C_albicans_SC5314,2945001,84,
Ca21chr1_C_albicans_SC5314,2945085,93,
Ca21chr1_C_albicans_SC5314,2945178,140,
Ca21chr1_C_albicans_SC5314,2945318,36,
Ca21chr1_C_albicans_SC5314,2945354,123,
Ca21chr1_C_albicans_SC5314,2945477,48,
Ca21chr1_C_albicans_SC5314,2945525,69,
Ca21chr1_C_albicans_SC5314,2945594,780,
Ca21chr1_C_albicans_SC5314,2946374,163,
Ca21chr1_C_albicans_SC5314,2946537,1,
Ca21chr1_C_albicans_SC5314,2946538,2946,
Ca21chr1_C_albicans_SC5314,2949484,5832,
Ca21chr1_C_albicans_SC5314,2955316,2912,
Ca21chr1_C_albicans_SC5314,2958228,966,
Ca21chr1_C_albicans_SC5314,2959194,24,
Ca21chr1_C_albicans_SC5314,2959218,6011,
Ca21chr1_C_albicans_SC5314,2965229,171,
Ca21chr1_C_albicans_SC5314,2965400,914,
Ca21chr1_C_albicans_SC5314,2966314,474,
Ca21chr1_C_albicans_SC5314,2966788,2324,
Ca21chr1_C_albicans_SC5314,2969112,11,
Ca21chr1_C_albicans_SC5314,2969123,545,
Ca21chr1_C_albicans_SC5314,2969668,143,
Ca21chr1_C_albicans_SC5314,2969811,150,
Ca21chr1_C_albicans_SC5314,2969961,240,
Ca21chr1_C_albicans_SC5314,2970201,238,
Ca21chr1_C_albicans_SC5314,2970439,50,
Ca21chr1_C_albicans_SC5314,2970489,1947,
Ca21chr1_C_albicans_SC5314,2972436,206,
Ca21chr1_C_albicans_SC5314,2972642,296,
Ca21chr1_C_albicans_SC5314,2972938,786,
Ca21chr1_C_albicans_SC5314,2973724,337,
Ca21chr1_C_albicans_SC5314,2974061,77,
Ca21chr1_C_albicans_SC5314,2974138,790,
Ca21chr1_C_albicans_SC5314,2974928,43,
Ca21chr1_C_albicans_SC5314,2974971,554,
Ca21chr1_C_albicans_SC5314,2975525,378,
Ca21chr1_C_albicans_SC5314,2975903,1971,
Ca21chr1_C_albicans_SC5314,2977874,2733,
Ca21chr1_C_albicans_SC5314,2980607,58,
Ca21chr1_C_albicans_SC5314,2980665,65,
Ca21chr1_C_albicans_SC5314,2980730,213,
Ca21chr1_C_albicans_SC5314,2980943,192,
Ca21chr1_C_albicans_SC5314,2981135,3087,
Ca21chr1_C_albicans_SC5314,2984222,884,
Ca21chr1_C_albicans_SC5314,2985106,247,
Ca21chr1_C_albicans_SC5314,2985353,1530,
Ca21chr1_C_albicans_SC5314,2986883,744,
Ca21chr1_C_albicans_SC5314,2987627,2813,
Ca21chr1_C_albicans_SC5314,2990440,841,
Ca21chr1_C_albicans_SC5314,2991281,701,
Ca21chr1_C_albicans_SC5314,2991982,248,
Ca21chr1_C_albicans_SC5314,2992230,225,
Ca21chr1_C_albicans_SC5314,2992455,2502,
Ca21chr1_C_albicans_SC5314,2994957,956,
Ca21chr1_C_albicans_SC5314,2995913,2412,
Ca21chr1_C_albicans_SC5314,2998325,75,
Ca21chr1_C_albicans_SC5314,2998400,3,
Ca21chr1_C_albicans_SC5314,2998403,69,
Ca21chr1_C_albicans_SC5314,2998472,66,
Ca21chr1_C_albicans_SC5314,2998538,100,
Ca21chr1_C_albicans_SC5314,2998638,142,
Ca21chr1_C_albicans_SC5314,2998780,236,
Ca21chr1_C_albicans_SC5314,2999016,80,
Ca21chr1_C_albicans_SC5314,2999096,48,
Ca21chr1_C_albicans_SC5314,2999144,459,
Ca21chr1_C_albicans_SC5314,2999603,277,
Ca21chr1_C_albicans_SC5314,2999880,1159,
Ca21chr1_C_albicans_SC5314,3001039,672,
Ca21chr1_C_albicans_SC5314,3001711,116,
Ca21chr1_C_albicans_SC5314,3001827,222,
Ca21chr1_C_albicans_SC5314,3002049,78,
Ca21chr1_C_albicans_SC5314,3002127,2,
Ca21chr1_C_albicans_SC5314,3002129,566,
Ca21chr1_C_albicans_SC5314,3002695,269,
Ca21chr1_C_albicans_SC5314,3002964,239,
Ca21chr1_C_albicans_SC5314,3003203,83,
Ca21chr1_C_albicans_SC5314,3003286,131,
Ca21chr1_C_albicans_SC5314,3003417,794,
Ca21chr1_C_albicans_SC5314,3004211,573,
Ca21chr1_C_albicans_SC5314,3004784,408,
Ca21chr1_C_albicans_SC5314,3005192,1622,
Ca21chr1_C_albicans_SC5314,3006814,360,
Ca21chr1_C_albicans_SC5314,3007174,3,
Ca21chr1_C_albicans_SC5314,3007177,100,
Ca21chr1_C_albicans_SC5314,3007277,143,
Ca21chr1_C_albicans_SC5314,3007420,595,
Ca21chr1_C_albicans_SC5314,3008015,896,
Ca21chr1_C_albicans_SC5314,3008911,425,
Ca21chr1_C_albicans_SC5314,3009336,261,
Ca21chr1_C_albicans_SC5314,3009597,249,
Ca21chr1_C_albicans_SC5314,3009846,120,
Ca21chr1_C_albicans_SC5314,3009966,100,
Ca21chr1_C_albicans_SC5314,3010066,516,
Ca21chr1_C_albicans_SC5314,3010582,3435,
Ca21chr1_C_albicans_SC5314,3014017,199,
Ca21chr1_C_albicans_SC5314,3014216,105,
Ca21chr1_C_albicans_SC5314,3014321,120,
Ca21chr1_C_albicans_SC5314,3014441,27,
Ca21chr1_C_albicans_SC5314,3014468,1707,
Ca21chr1_C_albicans_SC5314,3016175,552,
Ca21chr1_C_albicans_SC5314,3016727,750,
Ca21chr1_C_albicans_SC5314,3017477,152,
Ca21chr1_C_albicans_SC5314,3017629,248,
Ca21chr1_C_albicans_SC5314,3017877,221,
Ca21chr1_C_albicans_SC5314,3018098,266,
Ca21chr1_C_albicans_SC5314,3018364,82,
Ca21chr1_C_albicans_SC5314,3018446,336,
Ca21chr1_C_albicans_SC5314,3018782,18,
Ca21chr1_C_albicans_SC5314,3018800,1206,
Ca21chr1_C_albicans_SC5314,3020006,297,
Ca21chr1_C_albicans_SC5314,3020303,127,
Ca21chr1_C_albicans_SC5314,3020430,72,
Ca21chr1_C_albicans_SC5314,3020502,164,
Ca21chr1_C_albicans_SC5314,3020666,399,
Ca21chr1_C_albicans_SC5314,3021065,521,
Ca21chr1_C_albicans_SC5314,3021586,357,
Ca21chr1_C_albicans_SC5314,3021943,375,
Ca21chr1_C_albicans_SC5314,3022318,652,
Ca21chr1_C_albicans_SC5314,3022970,42,
Ca21chr1_C_albicans_SC5314,3023012,120,
Ca21chr1_C_albicans_SC5314,3023132,1001,
Ca21chr1_C_albicans_SC5314,3024133,167,
Ca21chr1_C_albicans_SC5314,3024300,76,
Ca21chr1_C_albicans_SC5314,3024376,6,
Ca21chr1_C_albicans_SC5314,3024382,374,
Ca21chr1_C_albicans_SC5314,3024756,19,
Ca21chr1_C_albicans_SC5314,3024775,140,
Ca21chr1_C_albicans_SC5314,3024915,229,
Ca21chr1_C_albicans_SC5314,3025144,390,
Ca21chr1_C_albicans_SC5314,3025534,2018,
Ca21chr1_C_albicans_SC5314,3027552,224,
Ca21chr1_C_albicans_SC5314,3027776,52,
Ca21chr1_C_albicans_SC5314,3027828,1603,
Ca21chr1_C_albicans_SC5314,3029431,360,
Ca21chr1_C_albicans_SC5314,3029791,1366,
Ca21chr1_C_albicans_SC5314,3031157,197,
Ca21chr1_C_albicans_SC5314,3031354,248,
Ca21chr1_C_albicans_SC5314,3031602,105,
Ca21chr1_C_albicans_SC5314,3031707,120,
Ca21chr1_C_albicans_SC5314,3031827,141,
Ca21chr1_C_albicans_SC5314,3031968,153,
Ca21chr1_C_albicans_SC5314,3032121,24,
Ca21chr1_C_albicans_SC5314,3032145,177,
Ca21chr1_C_albicans_SC5314,3032322,198,
Ca21chr1_C_albicans_SC5314,3032520,1570,
Ca21chr1_C_albicans_SC5314,3034090,32,
Ca21chr1_C_albicans_SC5314,3034122,1093,
Ca21chr1_C_albicans_SC5314,3035215,12,
Ca21chr1_C_albicans_SC5314,3035227,194,
Ca21chr1_C_albicans_SC5314,3035421,750,
Ca21chr1_C_albicans_SC5314,3036171,208,
Ca21chr1_C_albicans_SC5314,3036379,72,
Ca21chr1_C_albicans_SC5314,3036451,1510,
Ca21chr1_C_albicans_SC5314,3037961,6,
Ca21chr1_C_albicans_SC5314,3037967,47,
Ca21chr1_C_albicans_SC5314,3038014,230,
Ca21chr1_C_albicans_SC5314,3038244,203,
Ca21chr1_C_albicans_SC5314,3038447,612,
Ca21chr1_C_albicans_SC5314,3039059,603,
Ca21chr1_C_albicans_SC5314,3039662,131,
Ca21chr1_C_albicans_SC5314,3039793,170,
Ca21chr1_C_albicans_SC5314,3039963,108,
Ca21chr1_C_albicans_SC5314,3040071,54,
Ca21chr1_C_albicans_SC5314,3040125,99,
Ca21chr1_C_albicans_SC5314,3040224,853,
Ca21chr1_C_albicans_SC5314,3041077,907,
Ca21chr1_C_albicans_SC5314,3041984,100,
Ca21chr1_C_albicans_SC5314,3042084,546,
Ca21chr1_C_albicans_SC5314,3042630,144,
Ca21chr1_C_albicans_SC5314,3042774,846,
Ca21chr1_C_albicans_SC5314,3043620,3,
Ca21chr1_C_albicans_SC5314,3043623,342,
Ca21chr1_C_albicans_SC5314,3043965,53,
Ca21chr1_C_albicans_SC5314,3044018,3,
Ca21chr1_C_albicans_SC5314,3044021,21,
Ca21chr1_C_albicans_SC5314,3044042,39,
Ca21chr1_C_albicans_SC5314,3044081,3,
Ca21chr1_C_albicans_SC5314,3044084,774,
Ca21chr1_C_albicans_SC5314,3044858,269,
Ca21chr1_C_albicans_SC5314,3045127,280,
Ca21chr1_C_albicans_SC5314,3045407,1,
Ca21chr1_C_albicans_SC5314,3045408,785,
Ca21chr1_C_albicans_SC5314,3046193,1412,
Ca21chr1_C_albicans_SC5314,3047605,988,
Ca21chr1_C_albicans_SC5314,3048593,226,
Ca21chr1_C_albicans_SC5314,3048819,745,
Ca21chr1_C_albicans_SC5314,3049564,217,
Ca21chr1_C_albicans_SC5314,3049781,59,
Ca21chr1_C_albicans_SC5314,3049840,2,
Ca21chr1_C_albicans_SC5314,3049842,78,
Ca21chr1_C_albicans_SC5314,3049920,1368,
Ca21chr1_C_albicans_SC5314,3051288,443,
Ca21chr1_C_albicans_SC5314,3051731,201,
Ca21chr1_C_albicans_SC5314,3051932,127,
Ca21chr1_C_albicans_SC5314,3052059,158,
Ca21chr1_C_albicans_SC5314,3052217,186,
Ca21chr1_C_albicans_SC5314,3052403,252,
Ca21chr1_C_albicans_SC5314,3052655,1335,
Ca21chr1_C_albicans_SC5314,3053990,607,
Ca21chr1_C_albicans_SC5314,3054597,437,
Ca21chr1_C_albicans_SC5314,3055034,9,
Ca21chr1_C_albicans_SC5314,3055043,138,
Ca21chr1_C_albicans_SC5314,3055181,366,
Ca21chr1_C_albicans_SC5314,3055547,228,
Ca21chr1_C_albicans_SC5314,3055775,744,
Ca21chr1_C_albicans_SC5314,3056519,26,
Ca21chr1_C_albicans_SC5314,3056545,689,
Ca21chr1_C_albicans_SC5314,3057234,18,
Ca21chr1_C_albicans_SC5314,3057252,1,
Ca21chr1_C_albicans_SC5314,3057253,331,
Ca21chr1_C_albicans_SC5314,3057584,949,
Ca21chr1_C_albicans_SC5314,3058533,4,
Ca21chr1_C_albicans_SC5314,3058537,335,
Ca21chr1_C_albicans_SC5314,3058872,12,
Ca21chr1_C_albicans_SC5314,3058884,411,
Ca21chr1_C_albicans_SC5314,3059295,689,
Ca21chr1_C_albicans_SC5314,3059984,633,
Ca21chr1_C_albicans_SC5314,3060617,205,
Ca21chr1_C_albicans_SC5314,3060822,2,
Ca21chr1_C_albicans_SC5314,3060824,727,
Ca21chr1_C_albicans_SC5314,3061551,174,
Ca21chr1_C_albicans_SC5314,3061725,306,
Ca21chr1_C_albicans_SC5314,3062031,133,
Ca21chr1_C_albicans_SC5314,3062164,149,
Ca21chr1_C_albicans_SC5314,3062313,42,
Ca21chr1_C_albicans_SC5314,3062355,1759,
Ca21chr1_C_albicans_SC5314,3064114,164,
Ca21chr1_C_albicans_SC5314,3064278,406,
Ca21chr1_C_albicans_SC5314,3064684,63,
Ca21chr1_C_albicans_SC5314,3064747,37,
Ca21chr1_C_albicans_SC5314,3064784,308,
Ca21chr1_C_albicans_SC5314,3065092,41,
Ca21chr1_C_albicans_SC5314,3065133,61,
Ca21chr1_C_albicans_SC5314,3065194,419,
Ca21chr1_C_albicans_SC5314,3065613,228,
Ca21chr1_C_albicans_SC5314,3065841,467,
Ca21chr1_C_albicans_SC5314,3066308,204,
Ca21chr1_C_albicans_SC5314,3066512,101,
Ca21chr1_C_albicans_SC5314,3066613,45,
Ca21chr1_C_albicans_SC5314,3066658,70,
Ca21chr1_C_albicans_SC5314,3066728,53,
Ca21chr1_C_albicans_SC5314,3066781,723,
Ca21chr1_C_albicans_SC5314,3067504,808,
Ca21chr1_C_albicans_SC5314,3068312,507,
Ca21chr1_C_albicans_SC5314,3068819,112,
Ca21chr1_C_albicans_SC5314,3068931,107,
Ca21chr1_C_albicans_SC5314,3069038,1,
Ca21chr1_C_albicans_SC5314,3069039,54,
Ca21chr1_C_albicans_SC5314,3069093,623,
Ca21chr1_C_albicans_SC5314,3069716,153,
Ca21chr1_C_albicans_SC5314,3069869,251,
Ca21chr1_C_albicans_SC5314,3070120,774,
Ca21chr1_C_albicans_SC5314,3070894,2,
Ca21chr1_C_albicans_SC5314,3070896,140,
Ca21chr1_C_albicans_SC5314,3071036,209,
Ca21chr1_C_albicans_SC5314,3071245,48,
Ca21chr1_C_albicans_SC5314,3071293,87,
Ca21chr1_C_albicans_SC5314,3071380,2832,
Ca21chr1_C_albicans_SC5314,3074212,485,
