Sample Name, Recombined Chromosome, Recombination Start Site (bp),, Recombination Event Length (bp),
MAY155.GT,Ca21chr1_C_albicans_SC5314,353760,Ca21chr1_C_albicans_SC5314:353760,534,
MAY156.GT,Ca21chr1_C_albicans_SC5314,353760,Ca21chr1_C_albicans_SC5314:353760,534,
MAY154.GT,Ca21chr3_C_albicans_SC5314,1642856,Ca21chr3_C_albicans_SC5314:1642856,537,
MAY154.GT,Ca21chrR_C_albicans_SC5314,733946,Ca21chrR_C_albicans_SC5314:733946,541,
MAY155.GT,Ca21chrR_C_albicans_SC5314,733946,Ca21chrR_C_albicans_SC5314:733946,541,
MAY156.GT,Ca21chrR_C_albicans_SC5314,733946,Ca21chrR_C_albicans_SC5314:733946,541,
MAY157.GT,Ca21chrR_C_albicans_SC5314,733946,Ca21chrR_C_albicans_SC5314:733946,541,
MAY158.GT,Ca21chrR_C_albicans_SC5314,733946,Ca21chrR_C_albicans_SC5314:733946,541,
MAY154.GT,Ca21chr7_C_albicans_SC5314,852743,Ca21chr7_C_albicans_SC5314:852743,542,
MAY154.GT,Ca21chrR_C_albicans_SC5314,1546809,Ca21chrR_C_albicans_SC5314:1546809,542,
MAY155.GT,Ca21chr7_C_albicans_SC5314,852743,Ca21chr7_C_albicans_SC5314:852743,542,
MAY156.GT,Ca21chr7_C_albicans_SC5314,852743,Ca21chr7_C_albicans_SC5314:852743,542,
MAY157.GT,Ca21chr7_C_albicans_SC5314,852743,Ca21chr7_C_albicans_SC5314:852743,542,
MAY158.GT,Ca21chr7_C_albicans_SC5314,852743,Ca21chr7_C_albicans_SC5314:852743,542,
MAY158.GT,Ca21chr2_C_albicans_SC5314,1808086,Ca21chr2_C_albicans_SC5314:1808086,547,
MAY154.GT,Ca21chr1_C_albicans_SC5314,357422,Ca21chr1_C_albicans_SC5314:357422,552,
MAY155.GT,Ca21chr1_C_albicans_SC5314,357422,Ca21chr1_C_albicans_SC5314:357422,552,
MAY156.GT,Ca21chr1_C_albicans_SC5314,357422,Ca21chr1_C_albicans_SC5314:357422,552,
MAY157.GT,Ca21chrR_C_albicans_SC5314,456489,Ca21chrR_C_albicans_SC5314:456489,556,
MAY154.GT,Ca21chr1_C_albicans_SC5314,238406,Ca21chr1_C_albicans_SC5314:238406,566,
MAY158.GT,Ca21chr4_C_albicans_SC5314,1396079,Ca21chr4_C_albicans_SC5314:1396079,570,
MAY157.GT,Ca21chrR_C_albicans_SC5314,1083260,Ca21chrR_C_albicans_SC5314:1083260,575,
MAY157.GT,Ca21chr6_C_albicans_SC5314,137269,Ca21chr6_C_albicans_SC5314:137269,581,
MAY154.GT,Ca21chr4_C_albicans_SC5314,1101623,Ca21chr4_C_albicans_SC5314:1101623,583,
MAY155.GT,Ca21chr4_C_albicans_SC5314,1101623,Ca21chr4_C_albicans_SC5314:1101623,583,
MAY156.GT,Ca21chr4_C_albicans_SC5314,1101623,Ca21chr4_C_albicans_SC5314:1101623,583,
MAY154.GT,Ca21chrR_C_albicans_SC5314,669052,Ca21chrR_C_albicans_SC5314:669052,587,
MAY155.GT,Ca21chrR_C_albicans_SC5314,669052,Ca21chrR_C_albicans_SC5314:669052,587,
MAY156.GT,Ca21chrR_C_albicans_SC5314,669052,Ca21chrR_C_albicans_SC5314:669052,587,
MAY158.GT,Ca21chrR_C_albicans_SC5314,669052,Ca21chrR_C_albicans_SC5314:669052,587,
MAY155.GT,Ca21chr3_C_albicans_SC5314,1181868,Ca21chr3_C_albicans_SC5314:1181868,591,
MAY154.GT,Ca21chr1_C_albicans_SC5314,348635,Ca21chr1_C_albicans_SC5314:348635,592,
MAY155.GT,Ca21chr1_C_albicans_SC5314,348635,Ca21chr1_C_albicans_SC5314:348635,592,
MAY156.GT,Ca21chr1_C_albicans_SC5314,348635,Ca21chr1_C_albicans_SC5314:348635,592,
MAY156.GT,Ca21chr3_C_albicans_SC5314,882798,Ca21chr3_C_albicans_SC5314:882798,596,
MAY157.GT,Ca21chr3_C_albicans_SC5314,882798,Ca21chr3_C_albicans_SC5314:882798,596,
MAY154.GT,Ca21chr1_C_albicans_SC5314,354359,Ca21chr1_C_albicans_SC5314:354359,599,
MAY155.GT,Ca21chr1_C_albicans_SC5314,354359,Ca21chr1_C_albicans_SC5314:354359,599,
MAY156.GT,Ca21chr1_C_albicans_SC5314,354359,Ca21chr1_C_albicans_SC5314:354359,599,
MAY158.GT,Ca21chr1_C_albicans_SC5314,354359,Ca21chr1_C_albicans_SC5314:354359,599,
MAY158.GT,Ca21chr1_C_albicans_SC5314,1057991,Ca21chr1_C_albicans_SC5314:1057991,601,
MAY158.GT,Ca21chr4_C_albicans_SC5314,1255124,Ca21chr4_C_albicans_SC5314:1255124,602,
MAY154.GT,Ca21chrR_C_albicans_SC5314,2032108,Ca21chrR_C_albicans_SC5314:2032108,603,
MAY157.GT,Ca21chrR_C_albicans_SC5314,1657883,Ca21chrR_C_albicans_SC5314:1657883,607,
MAY154.GT,Ca21chr2_C_albicans_SC5314,1858030,Ca21chr2_C_albicans_SC5314:1858030,608,
MAY155.GT,Ca21chr2_C_albicans_SC5314,1858030,Ca21chr2_C_albicans_SC5314:1858030,608,
MAY156.GT,Ca21chr2_C_albicans_SC5314,1858030,Ca21chr2_C_albicans_SC5314:1858030,608,
MAY157.GT,Ca21chr2_C_albicans_SC5314,1858030,Ca21chr2_C_albicans_SC5314:1858030,608,
MAY158.GT,Ca21chr2_C_albicans_SC5314,1858030,Ca21chr2_C_albicans_SC5314:1858030,608,
MAY154.GT,Ca21chr7_C_albicans_SC5314,120542,Ca21chr7_C_albicans_SC5314:120542,611,
MAY155.GT,Ca21chr7_C_albicans_SC5314,120542,Ca21chr7_C_albicans_SC5314:120542,611,
MAY156.GT,Ca21chr7_C_albicans_SC5314,120542,Ca21chr7_C_albicans_SC5314:120542,611,
MAY157.GT,Ca21chr7_C_albicans_SC5314,120542,Ca21chr7_C_albicans_SC5314:120542,611,
MAY158.GT,Ca21chr7_C_albicans_SC5314,120542,Ca21chr7_C_albicans_SC5314:120542,611,
MAY158.GT,Ca21chr4_C_albicans_SC5314,1574180,Ca21chr4_C_albicans_SC5314:1574180,616,
MAY154.GT,Ca21chrR_C_albicans_SC5314,1996441,Ca21chrR_C_albicans_SC5314:1996441,625,
MAY155.GT,Ca21chrR_C_albicans_SC5314,1996441,Ca21chrR_C_albicans_SC5314:1996441,625,
MAY157.GT,Ca21chr2_C_albicans_SC5314,1304803,Ca21chr2_C_albicans_SC5314:1304803,628,
MAY154.GT,Ca21chr1_C_albicans_SC5314,149413,Ca21chr1_C_albicans_SC5314:149413,631,
MAY157.GT,Ca21chr5_C_albicans_SC5314,406973,Ca21chr5_C_albicans_SC5314:406973,631,
MAY154.GT,Ca21chrR_C_albicans_SC5314,573926,Ca21chrR_C_albicans_SC5314:573926,641,
MAY157.GT,Ca21chrR_C_albicans_SC5314,573926,Ca21chrR_C_albicans_SC5314:573926,641,
MAY158.GT,Ca21chrR_C_albicans_SC5314,573926,Ca21chrR_C_albicans_SC5314:573926,641,
MAY157.GT,Ca21chr6_C_albicans_SC5314,488194,Ca21chr6_C_albicans_SC5314:488194,643,
MAY158.GT,Ca21chr6_C_albicans_SC5314,488194,Ca21chr6_C_albicans_SC5314:488194,643,
MAY155.GT,Ca21chr1_C_albicans_SC5314,1250072,Ca21chr1_C_albicans_SC5314:1250072,644,
MAY156.GT,Ca21chr1_C_albicans_SC5314,1250072,Ca21chr1_C_albicans_SC5314:1250072,644,
MAY158.GT,Ca21chr2_C_albicans_SC5314,1333746,Ca21chr2_C_albicans_SC5314:1333746,644,
MAY154.GT,Ca21chr1_C_albicans_SC5314,2759808,Ca21chr1_C_albicans_SC5314:2759808,645,
MAY154.GT,Ca21chr6_C_albicans_SC5314,825553,Ca21chr6_C_albicans_SC5314:825553,645,
MAY155.GT,Ca21chr1_C_albicans_SC5314,2759808,Ca21chr1_C_albicans_SC5314:2759808,645,
MAY155.GT,Ca21chrR_C_albicans_SC5314,231354,Ca21chrR_C_albicans_SC5314:231354,645,
MAY156.GT,Ca21chrR_C_albicans_SC5314,231354,Ca21chrR_C_albicans_SC5314:231354,645,
MAY157.GT,Ca21chr6_C_albicans_SC5314,825553,Ca21chr6_C_albicans_SC5314:825553,645,
MAY157.GT,Ca21chr3_C_albicans_SC5314,1672553,Ca21chr3_C_albicans_SC5314:1672553,646,
MAY157.GT,Ca21chr4_C_albicans_SC5314,288994,Ca21chr4_C_albicans_SC5314:288994,647,
MAY156.GT,Ca21chr1_C_albicans_SC5314,2234757,Ca21chr1_C_albicans_SC5314:2234757,663,
MAY156.GT,Ca21chr1_C_albicans_SC5314,2936094,Ca21chr1_C_albicans_SC5314:2936094,676,
MAY157.GT,Ca21chr1_C_albicans_SC5314,811322,Ca21chr1_C_albicans_SC5314:811322,679,
MAY158.GT,Ca21chr1_C_albicans_SC5314,811322,Ca21chr1_C_albicans_SC5314:811322,679,
MAY155.GT,Ca21chr7_C_albicans_SC5314,300577,Ca21chr7_C_albicans_SC5314:300577,680,
MAY156.GT,Ca21chr7_C_albicans_SC5314,300577,Ca21chr7_C_albicans_SC5314:300577,680,
MAY157.GT,Ca21chr7_C_albicans_SC5314,300577,Ca21chr7_C_albicans_SC5314:300577,680,
MAY158.GT,Ca21chr6_C_albicans_SC5314,242671,Ca21chr6_C_albicans_SC5314:242671,690,
MAY158.GT,Ca21chr6_C_albicans_SC5314,731084,Ca21chr6_C_albicans_SC5314:731084,693,
MAY157.GT,Ca21chr5_C_albicans_SC5314,121314,Ca21chr5_C_albicans_SC5314:121314,694,
MAY157.GT,Ca21chr2_C_albicans_SC5314,1361800,Ca21chr2_C_albicans_SC5314:1361800,699,
MAY158.GT,Ca21chr2_C_albicans_SC5314,1361800,Ca21chr2_C_albicans_SC5314:1361800,699,
MAY154.GT,Ca21chr6_C_albicans_SC5314,207950,Ca21chr6_C_albicans_SC5314:207950,701,
MAY156.GT,Ca21chr6_C_albicans_SC5314,207950,Ca21chr6_C_albicans_SC5314:207950,701,
MAY158.GT,Ca21chr2_C_albicans_SC5314,1102398,Ca21chr2_C_albicans_SC5314:1102398,702,
MAY157.GT,Ca21chr1_C_albicans_SC5314,997280,Ca21chr1_C_albicans_SC5314:997280,705,
MAY154.GT,Ca21chr7_C_albicans_SC5314,788767,Ca21chr7_C_albicans_SC5314:788767,706,
MAY155.GT,Ca21chr7_C_albicans_SC5314,788767,Ca21chr7_C_albicans_SC5314:788767,706,
MAY157.GT,Ca21chr7_C_albicans_SC5314,788767,Ca21chr7_C_albicans_SC5314:788767,706,
MAY158.GT,Ca21chr7_C_albicans_SC5314,788767,Ca21chr7_C_albicans_SC5314:788767,706,
MAY157.GT,Ca21chr1_C_albicans_SC5314,1226437,Ca21chr1_C_albicans_SC5314:1226437,712,
MAY155.GT,Ca21chr6_C_albicans_SC5314,207962,Ca21chr6_C_albicans_SC5314:207962,713,
MAY156.GT,Ca21chr7_C_albicans_SC5314,788758,Ca21chr7_C_albicans_SC5314:788758,715,
MAY154.GT,Ca21chr6_C_albicans_SC5314,179609,Ca21chr6_C_albicans_SC5314:179609,717,
MAY155.GT,Ca21chr6_C_albicans_SC5314,179609,Ca21chr6_C_albicans_SC5314:179609,717,
MAY156.GT,Ca21chr6_C_albicans_SC5314,179609,Ca21chr6_C_albicans_SC5314:179609,717,
MAY157.GT,Ca21chr6_C_albicans_SC5314,179609,Ca21chr6_C_albicans_SC5314:179609,717,
MAY157.GT,Ca21chr3_C_albicans_SC5314,225672,Ca21chr3_C_albicans_SC5314:225672,719,
MAY157.GT,Ca21chr4_C_albicans_SC5314,1162765,Ca21chr4_C_albicans_SC5314:1162765,730,
MAY154.GT,Ca21chr4_C_albicans_SC5314,1461138,Ca21chr4_C_albicans_SC5314:1461138,731,
MAY155.GT,Ca21chr4_C_albicans_SC5314,1461138,Ca21chr4_C_albicans_SC5314:1461138,731,
MAY158.GT,Ca21chr4_C_albicans_SC5314,1162762,Ca21chr4_C_albicans_SC5314:1162762,733,
MAY154.GT,Ca21chr1_C_albicans_SC5314,1025258,Ca21chr1_C_albicans_SC5314:1025258,734,
MAY155.GT,Ca21chr1_C_albicans_SC5314,1025258,Ca21chr1_C_albicans_SC5314:1025258,734,
MAY156.GT,Ca21chr1_C_albicans_SC5314,1025258,Ca21chr1_C_albicans_SC5314:1025258,734,
MAY158.GT,Ca21chr1_C_albicans_SC5314,1025258,Ca21chr1_C_albicans_SC5314:1025258,734,
MAY154.GT,Ca21chrR_C_albicans_SC5314,1470623,Ca21chrR_C_albicans_SC5314:1470623,736,
MAY155.GT,Ca21chrR_C_albicans_SC5314,1470623,Ca21chrR_C_albicans_SC5314:1470623,736,
MAY157.GT,Ca21chrR_C_albicans_SC5314,1470623,Ca21chrR_C_albicans_SC5314:1470623,736,
MAY154.GT,Ca21chr6_C_albicans_SC5314,820438,Ca21chr6_C_albicans_SC5314:820438,740,
MAY155.GT,Ca21chr6_C_albicans_SC5314,820438,Ca21chr6_C_albicans_SC5314:820438,740,
MAY156.GT,Ca21chr6_C_albicans_SC5314,820438,Ca21chr6_C_albicans_SC5314:820438,740,
MAY157.GT,Ca21chr6_C_albicans_SC5314,820438,Ca21chr6_C_albicans_SC5314:820438,740,
MAY154.GT,Ca21chr2_C_albicans_SC5314,1232244,Ca21chr2_C_albicans_SC5314:1232244,760,
MAY155.GT,Ca21chr2_C_albicans_SC5314,1232244,Ca21chr2_C_albicans_SC5314:1232244,760,
MAY158.GT,Ca21chr2_C_albicans_SC5314,918000,Ca21chr2_C_albicans_SC5314:918000,760,
MAY158.GT,Ca21chr5_C_albicans_SC5314,580764,Ca21chr5_C_albicans_SC5314:580764,771,
MAY157.GT,Ca21chr1_C_albicans_SC5314,1078007,Ca21chr1_C_albicans_SC5314:1078007,777,
MAY158.GT,Ca21chr1_C_albicans_SC5314,1078007,Ca21chr1_C_albicans_SC5314:1078007,777,
MAY154.GT,Ca21chr2_C_albicans_SC5314,1371591,Ca21chr2_C_albicans_SC5314:1371591,785,
MAY158.GT,Ca21chr2_C_albicans_SC5314,1371591,Ca21chr2_C_albicans_SC5314:1371591,785,
MAY156.GT,Ca21chr7_C_albicans_SC5314,286312,Ca21chr7_C_albicans_SC5314:286312,787,
MAY157.GT,Ca21chr7_C_albicans_SC5314,286312,Ca21chr7_C_albicans_SC5314:286312,787,
MAY158.GT,Ca21chr7_C_albicans_SC5314,286312,Ca21chr7_C_albicans_SC5314:286312,787,
MAY154.GT,Ca21chr6_C_albicans_SC5314,513809,Ca21chr6_C_albicans_SC5314:513809,788,
MAY155.GT,Ca21chr6_C_albicans_SC5314,513809,Ca21chr6_C_albicans_SC5314:513809,788,
MAY156.GT,Ca21chr6_C_albicans_SC5314,513809,Ca21chr6_C_albicans_SC5314:513809,788,
MAY157.GT,Ca21chr4_C_albicans_SC5314,894810,Ca21chr4_C_albicans_SC5314:894810,788,
MAY157.GT,Ca21chr6_C_albicans_SC5314,513809,Ca21chr6_C_albicans_SC5314:513809,788,
MAY158.GT,Ca21chr4_C_albicans_SC5314,894810,Ca21chr4_C_albicans_SC5314:894810,788,
MAY154.GT,Ca21chr3_C_albicans_SC5314,570070,Ca21chr3_C_albicans_SC5314:570070,792,
MAY155.GT,Ca21chr3_C_albicans_SC5314,570070,Ca21chr3_C_albicans_SC5314:570070,792,
MAY158.GT,Ca21chr5_C_albicans_SC5314,784686,Ca21chr5_C_albicans_SC5314:784686,794,
MAY155.GT,Ca21chr6_C_albicans_SC5314,821239,Ca21chr6_C_albicans_SC5314:821239,801,
MAY154.GT,Ca21chr1_C_albicans_SC5314,1191485,Ca21chr1_C_albicans_SC5314:1191485,806,
MAY155.GT,Ca21chr1_C_albicans_SC5314,1191485,Ca21chr1_C_albicans_SC5314:1191485,806,
MAY156.GT,Ca21chr1_C_albicans_SC5314,1191485,Ca21chr1_C_albicans_SC5314:1191485,806,
MAY158.GT,Ca21chr1_C_albicans_SC5314,1191485,Ca21chr1_C_albicans_SC5314:1191485,806,
MAY158.GT,Ca21chr5_C_albicans_SC5314,496601,Ca21chr5_C_albicans_SC5314:496601,806,
MAY157.GT,Ca21chrR_C_albicans_SC5314,642721,Ca21chrR_C_albicans_SC5314:642721,808,
MAY154.GT,Ca21chr1_C_albicans_SC5314,1960998,Ca21chr1_C_albicans_SC5314:1960998,814,
MAY155.GT,Ca21chr1_C_albicans_SC5314,1960998,Ca21chr1_C_albicans_SC5314:1960998,814,
MAY158.GT,Ca21chr1_C_albicans_SC5314,1960998,Ca21chr1_C_albicans_SC5314:1960998,814,
MAY157.GT,Ca21chr7_C_albicans_SC5314,830189,Ca21chr7_C_albicans_SC5314:830189,816,
MAY158.GT,Ca21chr5_C_albicans_SC5314,150064,Ca21chr5_C_albicans_SC5314:150064,816,
MAY154.GT,Ca21chr7_C_albicans_SC5314,924567,Ca21chr7_C_albicans_SC5314:924567,824,
MAY156.GT,Ca21chr7_C_albicans_SC5314,924567,Ca21chr7_C_albicans_SC5314:924567,824,
MAY157.GT,Ca21chr5_C_albicans_SC5314,405470,Ca21chr5_C_albicans_SC5314:405470,825,
MAY154.GT,Ca21chr4_C_albicans_SC5314,843996,Ca21chr4_C_albicans_SC5314:843996,830,
MAY155.GT,Ca21chr4_C_albicans_SC5314,843996,Ca21chr4_C_albicans_SC5314:843996,830,
MAY156.GT,Ca21chr4_C_albicans_SC5314,843996,Ca21chr4_C_albicans_SC5314:843996,830,
MAY158.GT,Ca21chr6_C_albicans_SC5314,357276,Ca21chr6_C_albicans_SC5314:357276,833,
MAY156.GT,Ca21chr3_C_albicans_SC5314,570118,Ca21chr3_C_albicans_SC5314:570118,840,
MAY154.GT,Ca21chr1_C_albicans_SC5314,358265,Ca21chr1_C_albicans_SC5314:358265,843,
MAY155.GT,Ca21chr1_C_albicans_SC5314,358265,Ca21chr1_C_albicans_SC5314:358265,843,
MAY156.GT,Ca21chr1_C_albicans_SC5314,358265,Ca21chr1_C_albicans_SC5314:358265,843,
MAY154.GT,Ca21chr7_C_albicans_SC5314,293236,Ca21chr7_C_albicans_SC5314:293236,862,
MAY156.GT,Ca21chr7_C_albicans_SC5314,293236,Ca21chr7_C_albicans_SC5314:293236,862,
MAY154.GT,Ca21chr2_C_albicans_SC5314,671638,Ca21chr2_C_albicans_SC5314:671638,869,
MAY155.GT,Ca21chr2_C_albicans_SC5314,671638,Ca21chr2_C_albicans_SC5314:671638,869,
MAY156.GT,Ca21chr2_C_albicans_SC5314,671638,Ca21chr2_C_albicans_SC5314:671638,869,
MAY158.GT,Ca21chr7_C_albicans_SC5314,171257,Ca21chr7_C_albicans_SC5314:171257,872,
MAY158.GT,Ca21chr2_C_albicans_SC5314,1702190,Ca21chr2_C_albicans_SC5314:1702190,879,
MAY157.GT,Ca21chr1_C_albicans_SC5314,2984222,Ca21chr1_C_albicans_SC5314:2984222,884,
MAY154.GT,Ca21chrR_C_albicans_SC5314,1046860,Ca21chrR_C_albicans_SC5314:1046860,890,
MAY155.GT,Ca21chrR_C_albicans_SC5314,1046860,Ca21chrR_C_albicans_SC5314:1046860,890,
MAY156.GT,Ca21chrR_C_albicans_SC5314,1046860,Ca21chrR_C_albicans_SC5314:1046860,890,
MAY158.GT,Ca21chrR_C_albicans_SC5314,1046860,Ca21chrR_C_albicans_SC5314:1046860,890,
MAY155.GT,Ca21chr7_C_albicans_SC5314,145751,Ca21chr7_C_albicans_SC5314:145751,891,
MAY156.GT,Ca21chr7_C_albicans_SC5314,145751,Ca21chr7_C_albicans_SC5314:145751,891,
MAY157.GT,Ca21chr7_C_albicans_SC5314,145751,Ca21chr7_C_albicans_SC5314:145751,891,
MAY154.GT,Ca21chr1_C_albicans_SC5314,2235420,Ca21chr1_C_albicans_SC5314:2235420,897,
MAY155.GT,Ca21chr1_C_albicans_SC5314,2235420,Ca21chr1_C_albicans_SC5314:2235420,897,
MAY156.GT,Ca21chr1_C_albicans_SC5314,2235420,Ca21chr1_C_albicans_SC5314:2235420,897,
MAY157.GT,Ca21chr1_C_albicans_SC5314,2235420,Ca21chr1_C_albicans_SC5314:2235420,897,
MAY158.GT,Ca21chr1_C_albicans_SC5314,2235420,Ca21chr1_C_albicans_SC5314:2235420,897,
MAY156.GT,Ca21chr1_C_albicans_SC5314,2717570,Ca21chr1_C_albicans_SC5314:2717570,899,
MAY154.GT,Ca21chr3_C_albicans_SC5314,1779264,Ca21chr3_C_albicans_SC5314:1779264,900,
MAY155.GT,Ca21chr3_C_albicans_SC5314,1779264,Ca21chr3_C_albicans_SC5314:1779264,900,
MAY156.GT,Ca21chr3_C_albicans_SC5314,1779264,Ca21chr3_C_albicans_SC5314:1779264,900,
MAY157.GT,Ca21chr1_C_albicans_SC5314,2292087,Ca21chr1_C_albicans_SC5314:2292087,901,
MAY154.GT,Ca21chr1_C_albicans_SC5314,1162900,Ca21chr1_C_albicans_SC5314:1162900,904,
MAY155.GT,Ca21chr1_C_albicans_SC5314,1162900,Ca21chr1_C_albicans_SC5314:1162900,904,
MAY156.GT,Ca21chr1_C_albicans_SC5314,1162900,Ca21chr1_C_albicans_SC5314:1162900,904,
MAY158.GT,Ca21chr1_C_albicans_SC5314,2292083,Ca21chr1_C_albicans_SC5314:2292083,905,
MAY157.GT,Ca21chrR_C_albicans_SC5314,1091065,Ca21chrR_C_albicans_SC5314:1091065,906,
MAY154.GT,Ca21chr1_C_albicans_SC5314,2717556,Ca21chr1_C_albicans_SC5314:2717556,913,
MAY155.GT,Ca21chr1_C_albicans_SC5314,2717556,Ca21chr1_C_albicans_SC5314:2717556,913,
MAY158.GT,Ca21chr1_C_albicans_SC5314,2717556,Ca21chr1_C_albicans_SC5314:2717556,913,
MAY155.GT,Ca21chr3_C_albicans_SC5314,320286,Ca21chr3_C_albicans_SC5314:320286,917,
MAY157.GT,Ca21chr3_C_albicans_SC5314,320286,Ca21chr3_C_albicans_SC5314:320286,917,
MAY158.GT,Ca21chr1_C_albicans_SC5314,1063222,Ca21chr1_C_albicans_SC5314:1063222,919,
MAY154.GT,Ca21chr1_C_albicans_SC5314,2291162,Ca21chr1_C_albicans_SC5314:2291162,921,
MAY155.GT,Ca21chr1_C_albicans_SC5314,2291162,Ca21chr1_C_albicans_SC5314:2291162,921,
MAY157.GT,Ca21chr1_C_albicans_SC5314,1162919,Ca21chr1_C_albicans_SC5314:1162919,923,
MAY158.GT,Ca21chr1_C_albicans_SC5314,1162919,Ca21chr1_C_albicans_SC5314:1162919,923,
MAY158.GT,Ca21chr2_C_albicans_SC5314,830117,Ca21chr2_C_albicans_SC5314:830117,925,
MAY156.GT,Ca21chr7_C_albicans_SC5314,566763,Ca21chr7_C_albicans_SC5314:566763,926,
MAY157.GT,Ca21chr7_C_albicans_SC5314,566763,Ca21chr7_C_albicans_SC5314:566763,926,
MAY158.GT,Ca21chr7_C_albicans_SC5314,566763,Ca21chr7_C_albicans_SC5314:566763,926,
MAY155.GT,Ca21chr7_C_albicans_SC5314,187017,Ca21chr7_C_albicans_SC5314:187017,930,
MAY156.GT,Ca21chr7_C_albicans_SC5314,187017,Ca21chr7_C_albicans_SC5314:187017,930,
MAY157.GT,Ca21chr7_C_albicans_SC5314,187017,Ca21chr7_C_albicans_SC5314:187017,930,
MAY158.GT,Ca21chr7_C_albicans_SC5314,187017,Ca21chr7_C_albicans_SC5314:187017,930,
MAY154.GT,Ca21chr4_C_albicans_SC5314,938109,Ca21chr4_C_albicans_SC5314:938109,938,
MAY155.GT,Ca21chr4_C_albicans_SC5314,938109,Ca21chr4_C_albicans_SC5314:938109,938,
MAY158.GT,Ca21chr4_C_albicans_SC5314,898097,Ca21chr4_C_albicans_SC5314:898097,938,
MAY158.GT,Ca21chr6_C_albicans_SC5314,907853,Ca21chr6_C_albicans_SC5314:907853,952,
MAY157.GT,Ca21chr5_C_albicans_SC5314,721718,Ca21chr5_C_albicans_SC5314:721718,966,
MAY157.GT,Ca21chrR_C_albicans_SC5314,1412351,Ca21chrR_C_albicans_SC5314:1412351,966,
MAY155.GT,Ca21chr7_C_albicans_SC5314,273532,Ca21chr7_C_albicans_SC5314:273532,980,
MAY158.GT,Ca21chr6_C_albicans_SC5314,241246,Ca21chr6_C_albicans_SC5314:241246,982,
MAY155.GT,Ca21chr1_C_albicans_SC5314,1666029,Ca21chr1_C_albicans_SC5314:1666029,985,
MAY156.GT,Ca21chr1_C_albicans_SC5314,1666029,Ca21chr1_C_albicans_SC5314:1666029,985,
MAY154.GT,Ca21chr3_C_albicans_SC5314,350275,Ca21chr3_C_albicans_SC5314:350275,999,
MAY155.GT,Ca21chr3_C_albicans_SC5314,350275,Ca21chr3_C_albicans_SC5314:350275,999,
MAY158.GT,Ca21chr3_C_albicans_SC5314,350275,Ca21chr3_C_albicans_SC5314:350275,999,
MAY157.GT,Ca21chr1_C_albicans_SC5314,3179624,Ca21chr1_C_albicans_SC5314:3179624,1000,
MAY157.GT,Ca21chrR_C_albicans_SC5314,606593,Ca21chrR_C_albicans_SC5314:606593,1006,
MAY158.GT,Ca21chrR_C_albicans_SC5314,606593,Ca21chrR_C_albicans_SC5314:606593,1006,
MAY154.GT,Ca21chr1_C_albicans_SC5314,483696,Ca21chr1_C_albicans_SC5314:483696,1012,
MAY154.GT,Ca21chr7_C_albicans_SC5314,283800,Ca21chr7_C_albicans_SC5314:283800,1014,
MAY155.GT,Ca21chr7_C_albicans_SC5314,283800,Ca21chr7_C_albicans_SC5314:283800,1014,
MAY156.GT,Ca21chr7_C_albicans_SC5314,283800,Ca21chr7_C_albicans_SC5314:283800,1014,
MAY157.GT,Ca21chr7_C_albicans_SC5314,283800,Ca21chr7_C_albicans_SC5314:283800,1014,
MAY158.GT,Ca21chr7_C_albicans_SC5314,283800,Ca21chr7_C_albicans_SC5314:283800,1014,
MAY158.GT,Ca21chr6_C_albicans_SC5314,243899,Ca21chr6_C_albicans_SC5314:243899,1018,
MAY154.GT,Ca21chr3_C_albicans_SC5314,578633,Ca21chr3_C_albicans_SC5314:578633,1023,
MAY155.GT,Ca21chr3_C_albicans_SC5314,578633,Ca21chr3_C_albicans_SC5314:578633,1023,
MAY156.GT,Ca21chr3_C_albicans_SC5314,578633,Ca21chr3_C_albicans_SC5314:578633,1023,
MAY155.GT,Ca21chrR_C_albicans_SC5314,607675,Ca21chrR_C_albicans_SC5314:607675,1026,
MAY156.GT,Ca21chrR_C_albicans_SC5314,607675,Ca21chrR_C_albicans_SC5314:607675,1026,
MAY157.GT,Ca21chr1_C_albicans_SC5314,2217572,Ca21chr1_C_albicans_SC5314:2217572,1029,
MAY154.GT,Ca21chr1_C_albicans_SC5314,359295,Ca21chr1_C_albicans_SC5314:359295,1030,
MAY155.GT,Ca21chr1_C_albicans_SC5314,359295,Ca21chr1_C_albicans_SC5314:359295,1030,
MAY156.GT,Ca21chr1_C_albicans_SC5314,359295,Ca21chr1_C_albicans_SC5314:359295,1030,
MAY154.GT,Ca21chr6_C_albicans_SC5314,193961,Ca21chr6_C_albicans_SC5314:193961,1039,
MAY156.GT,Ca21chr6_C_albicans_SC5314,193961,Ca21chr6_C_albicans_SC5314:193961,1039,
MAY157.GT,Ca21chr6_C_albicans_SC5314,1011610,Ca21chr6_C_albicans_SC5314:1011610,1045,
MAY158.GT,Ca21chr4_C_albicans_SC5314,1497075,Ca21chr4_C_albicans_SC5314:1497075,1045,
MAY157.GT,Ca21chrR_C_albicans_SC5314,1373791,Ca21chrR_C_albicans_SC5314:1373791,1047,
MAY154.GT,Ca21chr1_C_albicans_SC5314,349914,Ca21chr1_C_albicans_SC5314:349914,1049,
MAY155.GT,Ca21chr1_C_albicans_SC5314,349914,Ca21chr1_C_albicans_SC5314:349914,1049,
